Year,Winner,Runner-up,Host,Score
1930,Uruguay,Argentina,Uruguay,02-Apr
1934,Italy,Czechoslovakia,Italy,01-Feb
1938,Italy,Hungary,France,02-Apr
1950,Uruguay,Brazil,Brazil,01-Feb
1954,Germany,Hungary,Switzerland,02-Mar
1958,Brazil,Sweden,Sweden,02-May
1962,Brazil,Czechoslovakia,Chile,01-Mar
1966,England,Germany,England,02-Apr
1970,Brazil,Italy,Mexico,01-Apr
1974,Germany,Netherlands,Germany,01-Feb
1978,Argentina,Netherlands,Argentina,01-Mar
1982,Italy,Germany,Spain,01-Mar
1986,Argentina,Germany,Mexico,02-Mar
1990,Germany,Argentina,Italy,1-0
1994,Brazil,Italy,USA,0-0 (3-2 pen)
1998,France,Brazil,France,3-0
2002,Brazil,Germany,South Korea/Japan,2-0
2006,Italy,France,Germany,1-1 (5-3 pen)
2010,Spain,Netherlands,South Africa,1-0
2014,Germany,Argentina,Brazil,1-0
2018,France,Croatia,Russia,02-Apr
2022,Argentina,France,Qatar,3-3 (4-2 pen)
